age,daily_hours,work_related,sleep_hours,mental_health,start_year,usage_years,platform,target
51,1.953214427695438,1,8.793447659420053,10,2004,22,LinkedIn,1
41,2.6543879470785074,1,7.905885215454563,6,2023,3,LinkedIn,1
27,2.9164949915516143,1,6.160078024629462,9,2000,26,LinkedIn,1
55,3.3662648541304794,0,4.443533102272593,6,2022,4,TikTok,2
20,6.589423077279788,1,9.759321061574976,7,2018,8,TikTok,2
33,9.546539401140228,0,5.642406120198734,9,2007,19,Twitter,1
51,9.618873651387622,0,9.487542273413737,1,2004,22,WhatsApp,1
31,0.5014147586479394,1,4.555951816392823,7,2019,7,Snapchat,1
35,13.853886170026797,1,9.19475989831902,7,2015,11,Snapchat,1
23,12.431284117718663,0,6.805183283610323,3,2016,10,LinkedIn,2
23,14.477101571822578,0,9.606414326599499,5,2006,20,LinkedIn,2
36,5.719801998587797,0,3.8670281526308092,6,2021,5,Facebook,2
48,10.139589511996256,0,9.936435249015542,2,2015,11,Instagram,2
52,2.936300864213408,0,4.419026981363283,2,2017,9,TikTok,2
36,12.346978894694871,1,3.653428463721446,10,2017,9,Telegram,2
15,2.8398319828383483,0,6.952545481751535,6,2010,16,Instagram,2
34,5.226792661712369,1,7.763023341729875,5,2003,23,Other,1
14,7.6171054112312575,0,5.652883125383282,5,2009,17,WhatsApp,2
36,9.120709198364882,0,7.884938211557077,3,2018,8,Twitter,1
56,8.614678852157608,0,9.622413965117607,5,2010,16,Other,1
42,1.9803921697949605,0,8.573953889614366,9,2001,25,TikTok,1
50,6.614302041525839,0,9.203678034418282,5,2019,7,YouTube,2
14,13.882184330984426,0,9.285028246412661,4,2023,3,YouTube,2
33,13.149343652401848,0,5.094094382190379,8,2013,13,Instagram,2
45,9.066361087192277,0,7.949941975850853,7,2000,26,Other,1
24,8.79870634407722,1,8.231375150506674,10,2004,22,YouTube,2
34,2.1192901484152875,0,3.8511482554143788,1,2008,18,YouTube,2
56,3.4037620584993995,1,6.3911304740886585,1,2015,11,LinkedIn,2
37,4.163276267759393,0,7.592018254421497,7,2005,21,Facebook,1
39,7.578838063595182,0,5.033299915699014,6,2015,11,LinkedIn,2
54,11.104662697387921,0,7.472229794170327,7,2019,7,Facebook,1
40,7.180517656261744,0,3.3654920044335785,5,2006,20,Snapchat,2
28,2.327885106642267,0,7.133691179467471,7,2022,4,WhatsApp,0
27,6.870558716665017,0,3.707538585187691,7,2018,8,Instagram,2
59,2.8581821793588813,0,7.776318392535002,7,2010,16,Telegram,1
56,11.391636599546825,1,7.595787213963793,1,2006,20,Snapchat,2
15,2.9142624758663955,0,7.362233746584905,7,2004,22,YouTube,1
49,7.496742848394622,0,4.800413468736695,6,2021,5,Other,1
19,10.554497238585848,0,7.681398714149189,10,2010,16,WhatsApp,1
33,3.8088719272055247,0,5.901804943455943,6,2019,7,TikTok,2
21,1.6024365607412332,0,6.753229316490465,8,2013,13,Telegram,1
51,8.667842403083856,1,7.788832360236215,4,2007,19,Instagram,2
30,1.2859386208136914,0,5.591278582640017,9,2020,6,Twitter,1
16,9.022645323038436,0,9.963314183129942,4,2006,20,WhatsApp,1
37,11.425728794999921,0,3.4372128952069834,1,2011,15,Twitter,2
26,5.275081879248445,0,8.110168182295393,3,2004,22,Snapchat,2
21,7.581066431670036,0,4.682396921863222,5,2007,19,LinkedIn,2
38,13.967046654261724,0,9.87282249068415,1,2018,8,Facebook,2
14,7.33107853054551,0,6.71443981641191,1,2022,4,Twitter,1
32,14.95003389020414,0,8.494439782337192,8,2007,19,YouTube,2
40,2.776534964686257,1,4.420288262694737,9,2023,3,TikTok,1
59,10.779541586007692,0,9.162586605966098,1,2013,13,Facebook,2
19,9.962969673860183,0,9.751204899479381,1,2022,4,TikTok,2
56,13.148419796131744,1,6.77261550699888,8,2010,16,Other,1
20,1.8404265738628407,0,8.957287520559658,3,2009,17,Instagram,1
59,4.562995576776342,0,7.688035687661671,2,2002,24,Telegram,2
47,2.416598773524861,1,4.708346677190249,10,2024,2,Instagram,1
26,14.029879272942862,1,9.428499352685153,5,2007,19,Instagram,2
29,6.6862122073562285,0,8.454858501948047,2,2009,17,YouTube,2
48,13.695954760258502,1,9.239052700223757,7,2024,2,LinkedIn,1
52,4.768901418202929,0,5.5398910439016475,5,2024,2,Instagram,2
16,2.332337469743952,0,6.175383398553641,9,2005,21,Other,1
14,4.799790458297238,1,5.018770056344317,10,2003,23,Facebook,1
18,9.15902821025671,1,5.350691811120793,6,2015,11,Snapchat,2
54,12.755872580876568,1,4.82678995842979,8,2024,2,WhatsApp,1
16,6.088165051762455,0,8.090788049381938,10,2004,22,Telegram,2
41,13.76472555917552,1,5.652392447542297,2,2017,9,Telegram,2
30,4.0413648653299665,0,8.121484118907858,2,2014,12,YouTube,2
38,10.55633996590462,1,7.720979925829672,10,2020,6,Instagram,2
56,11.167843581992948,0,6.8861562692310905,9,2020,6,Google,2
46,4.472462330293932,0,7.702269544588553,4,2008,18,Facebook,2
22,0.8910632353576479,0,6.8753089432476795,3,2009,17,LinkedIn,1
48,5.795941459735953,0,8.036592254736597,9,2018,8,Telegram,2
26,1.1553441359389731,1,5.285423323612121,9,2004,22,YouTube,1
43,13.560929743331577,0,8.469220966879542,4,2012,14,LinkedIn,2
27,14.32611631254384,1,5.089723334250239,2,2002,24,Google,2
20,11.163008781217007,1,9.853407781435713,4,2013,13,TikTok,2
26,11.036926487050591,1,5.703625174159222,10,2022,4,Twitter,1
35,3.9929437064700934,0,3.091002280520399,10,2011,15,Google,2
52,1.5719208600922272,1,6.258260147153194,8,2011,15,LinkedIn,1
33,12.130517219983291,1,9.690483482259989,5,2010,16,Snapchat,2
28,8.60784800752383,0,7.435767109398222,8,2002,24,Twitter,1
57,10.383599196414037,1,3.715491092167747,6,2007,19,YouTube,2
30,11.804795487250335,0,3.7560333500558905,7,2015,11,Other,1
59,6.436796899807899,0,6.14261540689747,2,2017,9,Other,2
36,2.5959255546856066,0,4.57869108622307,2,2009,17,LinkedIn,2
38,12.028033590761984,1,7.232172194815396,8,2014,12,TikTok,2
37,7.079601768811908,0,9.53782553904692,8,2001,25,YouTube,2
57,12.490401347411023,0,9.761901263631781,10,2008,18,TikTok,2
53,6.846637628020185,0,9.448519575801072,2,2015,11,TikTok,2
41,3.646737922630938,0,5.073235505875788,4,2014,12,Telegram,2
27,2.9795727414798434,1,9.836480402017317,7,2022,4,TikTok,1
57,11.286865470107934,1,5.155909114523669,7,2016,10,Google,2
13,8.835892280512953,1,7.382160812635361,1,2000,26,Twitter,1
37,6.366742056737954,0,9.233919680491788,3,2004,22,YouTube,2
19,7.635692964774314,0,7.6109027697629505,3,2010,16,TikTok,2
21,8.469759776654827,0,9.97597925953316,9,2010,16,Google,2
36,3.971538406474042,1,5.444891818379141,1,2023,3,Snapchat,2
13,5.9834009056164925,0,3.83608714717318,3,2000,26,YouTube,2
56,4.739966244091158,1,4.5421480835419334,4,2000,26,Google,2
20,6.132145777811595,1,4.288960784961965,1,2023,3,WhatsApp,2
36,7.758152096009621,0,9.325190376221013,4,2012,14,Google,2
23,3.013684316288306,0,6.260978060738585,8,2011,15,LinkedIn,2
29,6.205968408408876,0,6.610347611614342,10,2016,10,LinkedIn,2
20,6.0896694279503905,0,4.210799103148764,6,2023,3,Twitter,1
47,4.647055344212809,0,4.4999292538653055,9,2005,21,Other,1
47,14.978196709635556,1,8.597230068422032,1,2016,10,Snapchat,2
45,1.567598880417225,1,7.780194683121665,3,2009,17,YouTube,1
17,9.822791519643168,0,5.304870463562461,3,2018,8,Snapchat,2
54,3.0293597947783164,0,8.568367949260317,3,2016,10,Other,1
51,12.673097844635144,0,3.375951685777922,1,2003,23,Telegram,2
53,13.755849772134862,0,3.494708755035081,6,2002,24,Twitter,2
40,6.321430747829903,0,3.6195800927895587,8,2009,17,Instagram,2
19,12.44043751660029,1,7.9243380186600225,10,2000,26,TikTok,2
21,4.123687015575876,1,7.171068108957515,2,2012,14,Other,1
20,2.530993356274293,1,9.032380394025779,5,2010,16,LinkedIn,1
24,5.080234862837859,1,9.78031511650719,2,2024,2,TikTok,2
46,5.454273201420185,0,5.387103604877375,1,2003,23,Telegram,2
45,6.261684399390894,1,7.401354273710067,8,2018,8,TikTok,2
35,5.907904658388372,0,9.093026710892952,7,2017,9,Google,2
36,6.461594566332307,1,4.632441788682218,7,2003,23,Facebook,2
49,10.795483804174385,1,3.6692413487743143,6,2008,18,Telegram,2
47,4.06091192655316,1,9.879775661852806,4,2000,26,WhatsApp,1
56,0.7693461385942645,0,9.296369522490497,3,2024,2,WhatsApp,0
52,7.600367995028439,0,7.270158109540977,8,2007,19,Twitter,1
34,7.0002230409705275,0,3.072061169390104,1,2003,23,Snapchat,2
39,1.3709423527297415,0,4.5834132223334745,5,2017,9,WhatsApp,1
47,2.440120321770499,0,7.869663456402927,4,2007,19,TikTok,1
13,7.893852972930961,0,5.520017023149286,10,2019,7,Other,1
47,3.9038860202839,0,6.982130354850428,6,2010,16,YouTube,2
49,13.22517526505098,0,3.3892679056807413,2,2007,19,Snapchat,2
